agency_cd,site_no,datetime,cfs,cfs_cd,day_of_year,water_day,year,month
USGS,9503700,7/17/1963,18,A,198,290,1963,7
USGS,9503700,7/18/1963,18,A,199,291,1963,7
USGS,9503700,7/19/1963,18,A,200,292,1963,7
USGS,9503700,7/20/1963,19,A,201,293,1963,7
USGS,9503700,7/21/1963,19,A,202,294,1963,7
USGS,9503700,7/22/1963,19,A,203,295,1963,7
USGS,9503700,7/23/1963,19,A,204,296,1963,7
USGS,9503700,7/24/1963,19,A,205,297,1963,7
USGS,9503700,7/25/1963,19,A,206,298,1963,7
USGS,9503700,7/26/1963,18,A,207,299,1963,7
USGS,9503700,7/27/1963,18,A,208,300,1963,7
USGS,9503700,7/28/1963,18,A,209,301,1963,7
USGS,9503700,7/29/1963,18,A,210,302,1963,7
USGS,9503700,7/30/1963,18,A,211,303,1963,7
USGS,9503700,7/31/1963,18,A,212,304,1963,7
USGS,9503700,8/1/1963,25,A,213,305,1963,8
USGS,9503700,8/2/1963,22,A,214,306,1963,8
USGS,9503700,8/3/1963,20,A,215,307,1963,8
USGS,9503700,8/4/1963,21,A,216,308,1963,8
USGS,9503700,8/5/1963,20,A,217,309,1963,8
USGS,9503700,8/6/1963,19,A,218,310,1963,8
USGS,9503700,8/7/1963,36,A,219,311,1963,8
USGS,9503700,8/8/1963,20,A,220,312,1963,8
USGS,9503700,8/9/1963,19,A,221,313,1963,8
USGS,9503700,8/10/1963,19,A,222,314,1963,8
USGS,9503700,8/11/1963,18,A,223,315,1963,8
USGS,9503700,8/12/1963,18,A,224,316,1963,8
USGS,9503700,8/13/1963,17,A,225,317,1963,8
USGS,9503700,8/14/1963,18,A,226,318,1963,8
USGS,9503700,8/15/1963,18,A,227,319,1963,8
USGS,9503700,8/16/1963,18,A,228,320,1963,8
USGS,9503700,8/17/1963,18,A,229,321,1963,8
USGS,9503700,8/18/1963,18,A,230,322,1963,8
USGS,9503700,8/19/1963,21,A,231,323,1963,8
USGS,9503700,8/20/1963,84,A,232,324,1963,8
USGS,9503700,8/21/1963,61,A,233,325,1963,8
USGS,9503700,8/22/1963,130,A,234,326,1963,8
USGS,9503700,8/23/1963,175,A,235,327,1963,8
USGS,9503700,8/24/1963,63,A,236,328,1963,8
USGS,9503700,8/25/1963,58,A,237,329,1963,8
USGS,9503700,8/26/1963,165,A,238,330,1963,8
USGS,9503700,8/27/1963,44,A,239,331,1963,8
USGS,9503700,8/28/1963,30,A,240,332,1963,8
USGS,9503700,8/29/1963,28,A,241,333,1963,8
USGS,9503700,8/30/1963,32,A,242,334,1963,8
USGS,9503700,8/31/1963,61,A,243,335,1963,8
USGS,9503700,9/1/1963,31,A,244,336,1963,9
USGS,9503700,9/2/1963,25,A,245,337,1963,9
USGS,9503700,9/3/1963,24,A,246,338,1963,9
USGS,9503700,9/4/1963,24,A,247,339,1963,9
USGS,9503700,9/5/1963,22,A,248,340,1963,9
USGS,9503700,9/6/1963,22,A,249,341,1963,9
USGS,9503700,9/7/1963,22,A,250,342,1963,9
USGS,9503700,9/8/1963,22,A,251,343,1963,9
USGS,9503700,9/9/1963,22,A,252,344,1963,9
USGS,9503700,9/10/1963,22,A,253,345,1963,9
USGS,9503700,9/11/1963,21,A,254,346,1963,9
USGS,9503700,9/12/1963,21,A,255,347,1963,9
USGS,9503700,9/13/1963,21,A,256,348,1963,9
USGS,9503700,9/14/1963,21,A,257,349,1963,9
USGS,9503700,9/15/1963,39,A,258,350,1963,9
USGS,9503700,9/16/1963,22,A,259,351,1963,9
USGS,9503700,9/17/1963,20,A,260,352,1963,9
USGS,9503700,9/18/1963,21,A,261,353,1963,9
USGS,9503700,9/19/1963,20,A,262,354,1963,9
USGS,9503700,9/20/1963,20,A,263,355,1963,9
USGS,9503700,9/21/1963,20,A,264,356,1963,9
USGS,9503700,9/22/1963,20,A,265,357,1963,9
USGS,9503700,9/23/1963,20,A,266,358,1963,9
USGS,9503700,9/24/1963,20,A,267,359,1963,9
USGS,9503700,9/25/1963,20,A,268,360,1963,9
USGS,9503700,9/26/1963,20,A,269,361,1963,9
USGS,9503700,9/27/1963,20,A,270,362,1963,9
USGS,9503700,9/28/1963,19,A,271,363,1963,9
USGS,9503700,9/29/1963,19,A,272,364,1963,9
USGS,9503700,9/30/1963,19,A,273,365,1963,9
USGS,9503700,10/1/1963,19,A,274,1,1963,10
USGS,9503700,10/2/1963,19,A,275,2,1963,10
USGS,9503700,10/3/1963,19,A,276,3,1963,10
USGS,9503700,10/4/1963,19,A,277,4,1963,10
USGS,9503700,10/5/1963,19,A,278,5,1963,10
USGS,9503700,10/6/1963,19,A,279,6,1963,10
USGS,9503700,10/7/1963,19,A,280,7,1963,10
USGS,9503700,10/8/1963,19,A,281,8,1963,10
USGS,9503700,10/9/1963,18,A,282,9,1963,10
USGS,9503700,10/10/1963,18,A,283,10,1963,10
USGS,9503700,10/11/1963,18,A,284,11,1963,10
USGS,9503700,10/12/1963,18,A,285,12,1963,10
USGS,9503700,10/13/1963,18,A,286,13,1963,10
USGS,9503700,10/14/1963,18,A,287,14,1963,10
USGS,9503700,10/15/1963,18,A,288,15,1963,10
USGS,9503700,10/16/1963,18,A,289,16,1963,10
USGS,9503700,10/17/1963,19,A,290,17,1963,10
USGS,9503700,10/18/1963,18,A,291,18,1963,10
USGS,9503700,10/19/1963,19,A,292,19,1963,10
USGS,9503700,10/20/1963,19,A,293,20,1963,10
USGS,9503700,10/21/1963,19,A,294,21,1963,10
USGS,9503700,10/22/1963,19,A,295,22,1963,10
USGS,9503700,10/23/1963,19,A,296,23,1963,10
USGS,9503700,10/24/1963,19,A,297,24,1963,10
USGS,9503700,10/25/1963,19,A,298,25,1963,10
USGS,9503700,10/26/1963,19,A,299,26,1963,10
USGS,9503700,10/27/1963,19,A,300,27,1963,10
USGS,9503700,10/28/1963,19,A,301,28,1963,10
USGS,9503700,10/29/1963,19,A,302,29,1963,10
USGS,9503700,10/30/1963,19,A,303,30,1963,10
USGS,9503700,10/31/1963,20,A,304,31,1963,10
USGS,9503700,11/1/1963,20,A,305,32,1963,11
USGS,9503700,11/2/1963,20,A,306,33,1963,11
USGS,9503700,11/3/1963,20,A,307,34,1963,11
USGS,9503700,11/4/1963,21,A,308,35,1963,11
USGS,9503700,11/5/1963,21,A,309,36,1963,11
USGS,9503700,11/6/1963,21,A,310,37,1963,11
USGS,9503700,11/7/1963,22,A,311,38,1963,11
USGS,9503700,11/8/1963,22,A,312,39,1963,11
USGS,9503700,11/9/1963,21,A,313,40,1963,11
USGS,9503700,11/10/1963,21,A,314,41,1963,11
USGS,9503700,11/11/1963,21,A,315,42,1963,11
USGS,9503700,11/12/1963,21,A,316,43,1963,11
USGS,9503700,11/13/1963,22,A,317,44,1963,11
USGS,9503700,11/14/1963,22,A,318,45,1963,11
USGS,9503700,11/15/1963,22,A,319,46,1963,11
USGS,9503700,11/16/1963,22,A,320,47,1963,11
USGS,9503700,11/17/1963,22,A,321,48,1963,11
USGS,9503700,11/18/1963,22,A,322,49,1963,11
USGS,9503700,11/19/1963,22,A,323,50,1963,11
USGS,9503700,11/20/1963,22,A,324,51,1963,11
USGS,9503700,11/21/1963,22,A,325,52,1963,11
USGS,9503700,11/22/1963,22,A,326,53,1963,11
USGS,9503700,11/23/1963,22,A,327,54,1963,11
USGS,9503700,11/24/1963,22,A,328,55,1963,11
USGS,9503700,11/25/1963,23,A,329,56,1963,11
USGS,9503700,11/26/1963,23,A,330,57,1963,11
USGS,9503700,11/27/1963,23,A,331,58,1963,11
