Year,Max cfs,Rank,Interval,Max_cfs_Jan_Apr,Rank_Jan_Apr,Interval_Jan_Apr,Sp_flood,Max_cfs_Jun_Sep,Rank_Su,Interval_Jun_Sep,Su_flood
1964,398,27,2.037037037,24,51.5,1.067961165,0,398,9,6.111111111,1
1965,1750,11,5,491,17,3.235294118,0,61,33,1.666666667,0
1966,713,19,2.894736842,713,14,3.928571429,1,59,34,1.617647059,0
1967,197,33,1.666666667,29,35,1.571428571,0,197,14,3.928571429,1
1968,641,21,2.619047619,641,16,3.4375,1,36,44,1.25,0
1969,232,31,1.774193548,232,20,2.75,1,110,26,2.115384615,0
1970,174,36,1.527777778,28,39,1.41025641,0,174,18,3.055555556,1
1971,544,22,2.5,26,45.5,1.208791209,0,544,4,13.75,1
1972,2160,10,5.5,25,48,1.145833333,0,162,19,2.894736842,0
1973,682,20,2.75,682,15,3.666666667,1,29,48,1.145833333,0
1974,115,42,1.30952381,27,43,1.279069767,0,115,24,2.291666667,1
1975,38,53,1.037735849,27,43,1.279069767,0,38,42,1.30952381,1
1976,1350,14,3.928571429,1350,10,5.5,1,112,25,2.2,0
1977,408,25,2.2,30,31,1.774193548,0,408,7,7.857142857,1
1978,6210,6,9.166666667,6210,4,13.75,1,214,13,4.230769231,0
1979,1570,12,4.583333333,1570,9,6.111111111,1,131,23,2.391304348,0
1980,7450,2,27.5,7450,2,27.5,1,33,45,1.222222222,0
1981,140,41,1.341463415,33,26,2.115384615,0,70,27,2.037037037,0
1982,398,27,2.037037037,398,18,3.055555556,1,55,36,1.527777778,0
1983,6550,4,13.75,1670,8,6.875,0,6550,1,55,1
1984,1450,13,4.230769231,26,45.5,1.208791209,0,329,10,5.5,0
1985,461,23,2.391304348,189,22,2.5,0,29,48,1.145833333,0
1986,104,43,1.279069767,104,24,2.291666667,1,37,43,1.279069767,0
1987,83,44,1.25,32,27,2.037037037,0,49,37,1.486486486,0
1988,227,32,1.71875,227,21,2.619047619,1,62,32,1.71875,0
1989,68,46,1.195652174,30,31,1.774193548,0,68,29,1.896551724,1
1990,68,46,1.195652174,28,39,1.41025641,0,68,29,1.896551724,1
1991,2760,8,6.875,2760,6,9.166666667,1,27,51,1.078431373,0
1992,816,17,3.235294118,816,12,4.583333333,1,463,5,11,0
1993,13700,1,55,13700,1,55,1,31,46,1.195652174,0
1994,64,48,1.145833333,31,28,1.964285714,0,64,31,1.774193548,1
1995,2780,7,7.857142857,2780,5,11,1,29,48,1.145833333,0
1996,183,35,1.571428571,29,35,1.571428571,0,183,16,3.4375,1
1997,48,50,1.1,29,35,1.571428571,0,48,38,1.447368421,1
1998,169,38,1.447368421,169,23,2.391304348,1,159,20,2.75,0
1999,431,24,2.291666667,30,31,1.774193548,0,431,6,9.166666667,1
2000,173,37,1.486486486,25,48,1.145833333,0,30,47,1.170212766,0
2001,40,52,1.057692308,28,39,1.41025641,0,40,41,1.341463415,1
2002,247,30,1.833333333,25,48,1.145833333,0,247,12,4.583333333,1
2003,401,26,2.115384615,28,39,1.41025641,0,401,8,6.875,1
2004,6280,5,11,24,51.5,1.067961165,0,6280,2,27.5,1
2005,7440,3,18.33333333,7440,3,18.33333333,1,41,39,1.41025641,0
2006,69,45,1.222222222,27,43,1.279069767,0,69,28,1.964285714,1
2007,146,40,1.375,24,51.5,1.067961165,0,146,22,2.5,1
2008,784,18,3.055555556,784,13,4.230769231,1,180,17,3.235294118,0
2009,188,34,1.617647059,45,25,2.2,0,188,15,3.666666667,1
2010,2450,9,6.111111111,2450,7,7.857142857,1,319,11,5,0
2011,28,54,1.018518519,28,39,1.41025641,1,24,52,1.057692308,0
2012,41,51,1.078431373,30,31,1.774193548,0,41,39,1.41025641,1
2013,847,16,3.4375,30,31,1.774193548,0,847,3,18.33333333,1
2014,153,39,1.41025641,24,51.5,1.067961165,0,153,21,2.619047619,1
2015,291,29,1.896551724,291,19,2.894736842,1,21,53,1.037735849,0
2016,57,49,1.12244898,22,54,1.018518519,0,57,35,1.571428571,1
