year,floodmag,flooddate,basedur
1984,26,1,42
1985,189,134,4
1986,104,169,19
1987,32,147,14
1988,227,208,34
1989,30,177,14
1990,28,162,32
1991,2760,153,121
1992,816,137,82
1993,13700,143,0
1994,31,208,1
1995,2780,137,20
1996,28,1,71
1997,27,1,121
1998,169,180,74
1999,29,170,52
2000,25,157,121
2001,27,163,69
2002,25,128,97
2003,28,148,73
2004,24,184,109
2005,5440,136,19
2006,27,163,58
2007,24,1,54
2008,784,119,86
2009,45,148,48
2010,2450,114,61
2011,28,150,121
2012,30,169,84
2013,30,118,44
