Spp,Stage,Yeartype,Code,Multiplier,Modifier_none
CACL,Juvenile,HF,CACL_J_HF,0.1,1
CACL,Juvenile,MF,CACL_J_MF,0.2,1
CACL,Juvenile,NE,CACL_J_NE,1,1
CACL,Juvenile,DR,CACL_J_DR,2,1
CACL,Adult,HF,CACL_A_HF,1,1
CACL,Adult,MF,CACL_A_MF,1,1
CACL,Adult,NE,CACL_A_NE,1,1
CACL,Adult,DR,CACL_A_DR,3,1
GIRO,Juvenile,HF,GIRO_J_HF,0.1,1
GIRO,Juvenile,MF,GIRO_J_MF,0.2,1
GIRO,Juvenile,NE,GIRO_J_NE,1,1
GIRO,Juvenile,DR,GIRO_J_DR,2,1
GIRO,Adult,HF,GIRO_A_HF,1,1
GIRO,Adult,MF,GIRO_A_MF,1,1
GIRO,Adult,NE,GIRO_A_NE,1,1
GIRO,Adult,DR,GIRO_A_DR,3,1
LECY,Juvenile,HF,LECY_J_HF,2,1
LECY,Juvenile,MF,LECY_J_MF,1,1
LECY,Juvenile,NE,LECY_J_NE,0.1,1
LECY,Juvenile,DR,LECY_J_DR,0.2,1
LECY,Adult,HF,LECY_A_HF,1,1
LECY,Adult,MF,LECY_A_MF,1,1
LECY,Adult,NE,LECY_A_NE,0.2,1
LECY,Adult,DR,LECY_A_DR,1,1
CAIN,Juvenile,HF,CAIN_J_HF,0.1,1
CAIN,Juvenile,MF,CAIN_J_MF,0.2,1
CAIN,Juvenile,NE,CAIN_J_NE,1,1
CAIN,Juvenile,DR,CAIN_J_DR,2,1
CAIN,Adult,HF,CAIN_A_HF,1,1
CAIN,Adult,MF,CAIN_A_MF,1,1
CAIN,Adult,NE,CAIN_A_NE,1,1
CAIN,Adult,DR,CAIN_A_DR,3,1
MIDO,Juvenile,HF,MIDO_J_HF,2,1
MIDO,Juvenile,MF,MIDO_J_MF,1,1
MIDO,Juvenile,NE,MIDO_J_NE,0.1,1
MIDO,Juvenile,DR,MIDO_J_DR,0.2,1
MIDO,Adult,HF,MIDO_A_HF,1,1
MIDO,Adult,MF,MIDO_A_MF,1,1
MIDO,Adult,NE,MIDO_A_NE,1,1
MIDO,Adult,DR,MIDO_A_DR,1.5,1
CYLU,Juvenile,HF,CYLU_J_HF,1.5,1
CYLU,Juvenile,MF,CYLU_J_MF,1,1
CYLU,Juvenile,NE,CYLU_J_NE,0.3,1
CYLU,Juvenile,DR,CYLU_J_DR,0.2,1
CYLU,Adult,HF,CYLU_A_HF,1.5,1
CYLU,Adult,MF,CYLU_A_MF,1,1
CYLU,Adult,NE,CYLU_A_NE,0.3,1
CYLU,Adult,DR,CYLU_A_DR,0.2,1
AMNA,Juvenile,HF,AMNA_J_HF,2,1
AMNA,Juvenile,MF,AMNA_J_MF,1,1
AMNA,Juvenile,NE,AMNA_J_NE,0.1,1
AMNA,Juvenile,DR,AMNA_J_DR,0.2,1
AMNA,Adult,HF,AMNA_A_HF,1,1
AMNA,Adult,MF,AMNA_A_MF,1,1
AMNA,Adult,NE,AMNA_A_NE,0.1,1
AMNA,Adult,DR,AMNA_A_DR,1,1
